"","Axis.1","Axis.2"
"FAY_15716",-0.301816111717947,0.230770798289467
"FAY_15723",-0.299763402335457,0.321380593469036
"FAY_15760",-0.32438888905824,0.00306339925477036
"FAY_15823",-0.298006525653877,0.0669940803053186
"FAY_15882",-0.282257771968065,0.266151345047889
"FAY_15887",-0.270677042538553,-0.216116930401439
"FAY_15893",-0.278735164400014,-0.083341994237131
"FAY_15895",-0.133374298042585,0.015597177833175
"FAY_15897",-0.292871423483703,0.0464489217899828
"FAY_15900",-0.217773722211986,0.0591135495858236
"FAY_15911",-0.364588353449293,0.0290780088286126
"FAY_15921",-0.305855970599017,0.297574995212617
"FAY_15923",-0.238226388519257,0.03149133276029
"FAY_15925",-0.301239346162339,0.303222170249158
"FAY_15926",-0.262368357301219,0.216052930803674
"FAY_15928",-0.288511140808267,0.014189657456895
"FAY_16020",-0.374167407168886,-0.168651053004222
"FAY_16060",-0.274078537447059,0.101688937531998
"FAY_16114",-0.31740467823226,0.247039339810289
"FAY_30399",-0.277947209305041,0.0536405496731152
"FAY_30401",-0.268863456336329,0.028656928603675
"FAY_30413",-0.26303921349158,-0.144186020910934
"FAY_30448",-0.270031756135638,0.0274240917792273
"FAY_30452",-0.31814248730181,-0.0600654678937845
"FAY_30454",-0.196694393976297,0.0783483625231115
"FAY_30455",-0.249890444436955,0.0279013361875072
"FAY_30457",-0.364249101391581,-0.16012124471187
"FAY_30460",-0.348316937375464,0.240239971188269
"FAY_30461",-0.196529029832044,0.280702508514868
"FAY_30467",-0.27685152255203,0.302134793242997
"FAY_30472",-0.305243039655279,-0.0330298166204025
"FAY_30475",-0.248276046019509,0.0883574904385934
"FAY_30476",-0.326130010731607,0.107833817276009
"FAY_30485",-0.315011745721716,0.0159880676442818
"FAY_30487",-0.362323477150914,-0.0392052549873283
"FAY_30488",-0.295728030143183,0.0678982659801322
"FAY_30491",-0.247075026614252,0.0840327937509218
"FAY_30494",-0.238397785141102,-0.102010113821629
"FAY_30495",-0.292091809798943,0.253349758205759
"FAY_30497",-0.294168753750983,-0.106129159771979
"FAY_30498",-0.295682057091724,0.150810546250234
"FAY_30500",-0.184569007457326,0.075231110402558
